name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Age,Price_category,,,,,,
Ambassador Classic 2000 Dsz,2002,"₹ 50,000",120000,Diesel,Individual,Manual,Fourth & Above Owner,24,Budget,,,,,,
Maruti Omni 5 Str STD LPG,1998,"₹ 50,000",35000,LPG,Individual,Manual,Second Owner,28,Budget,,,,,,
Maruti 800 DX,2000,"₹ 50,000",60000,Petrol,Individual,Manual,First Owner,26,Budget,,,,,,
Tata Indica DLX,2003,"₹ 50,000",120000,Diesel,Individual,Manual,Second Owner,23,Budget,,,,,,
Tata Indica DLS,2006,"₹ 50,000",120000,Diesel,Individual,Manual,Fourth & Above Owner,20,Budget,,,,,,
Ford Ikon 1.3 Flair,2005,"₹ 50,000",80000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Maruti Wagon R VX,2000,"₹ 50,000",88500,Petrol,Individual,Manual,Fourth & Above Owner,26,Budget,,,,,,
Maruti 800 AC,1999,"₹ 50,000",100000,Petrol,Individual,Manual,Second Owner,27,Budget,,,,,,
Tata Indica LSI,2005,"₹ 51,111",140000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Hyundai Santro LP zipPlus,2001,"₹ 52,000",50000,Petrol,Individual,Manual,Third Owner,25,Budget,,,,,,
Maruti Alto LX,2006,"₹ 52,000",120000,Petrol,Individual,Manual,Third Owner,20,Budget,,,,,,
Maruti 800 AC BSII,2004,"₹ 55,000",35000,Petrol,Individual,Manual,Third Owner,22,Budget,,,,,,
Hyundai Santro GLS I - Euro I,2001,"₹ 55,000",60000,Petrol,Individual,Manual,Third Owner,25,Budget,,,,,,
Tata Nano CX,2014,"₹ 55,000",40000,Petrol,Individual,Manual,First Owner,12,Budget,,,,,,
Tata Indica DLS,2006,"₹ 55,000",100000,Diesel,Individual,Manual,First Owner,20,Budget,,,,,,
Fiat Palio D 1.9 EL PS,2003,"₹ 55,000",35000,Diesel,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti 800 AC,2006,"₹ 55,000",70000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Tata Indica DL,2006,"₹ 55,000",100000,Diesel,Individual,Manual,Second Owner,20,Budget,,,,,,
Tata Nano STD,2013,"₹ 55,000",25000,Petrol,Individual,Manual,Fourth & Above Owner,13,Budget,,,,,,
Tata Indigo LS,2007,"₹ 55,000",195000,Diesel,Individual,Manual,Third Owner,19,Budget,,,,,,
Maruti 800 Std,1998,"₹ 55,000",80000,Petrol,Individual,Manual,Fourth & Above Owner,28,Budget,,,,,,
Maruti Alto LXI,2005,"₹ 56,000",23000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Tata Indica DLS,2006,"₹ 57,000",80000,Diesel,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti 800 AC BSIII,2008,"₹ 58,000",70000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Tata Nano LX,2013,"₹ 58,000",27974,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Omni LPG STD BSIV,2006,"₹ 60,000",135000,LPG,Individual,Manual,Fourth & Above Owner,20,Budget,,,,,,
Maruti 800 AC,2000,"₹ 60,000",40000,Petrol,Individual,Manual,Third Owner,26,Budget,,,,,,
Tata Nano LX,2013,"₹ 60,000",40000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Esteem VX,1999,"₹ 60,000",35000,Petrol,Individual,Manual,Second Owner,27,Budget,,,,,,
Tata Nano Lx,2011,"₹ 60,000",40000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Maruti Zen LXi BSII,2002,"₹ 60,000",80000,Petrol,Individual,Manual,Second Owner,24,Budget,,,,,,
Chevrolet Optra 1.6 LS,2005,"₹ 60,000",126000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Daewoo Matiz SD,2002,"₹ 60,000",50000,Petrol,Individual,Manual,First Owner,24,Budget,,,,,,
Maruti 800 DX,2003,"₹ 60,000",35000,Petrol,Individual,Manual,First Owner,23,Budget,,,,,,
Hyundai Santro Xing XG eRLX Euro III,2006,"₹ 60,000",120000,Petrol,Individual,Manual,Third Owner,20,Budget,,,,,,
Hyundai Santro LS zipPlus,2002,"₹ 60,000",120000,Petrol,Individual,Manual,Third Owner,24,Budget,,,,,,
Maruti Alto LXI,2003,"₹ 60,000",5000,Petrol,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti 800 Std BSIII,2003,"₹ 60,000",50000,Petrol,Individual,Manual,First Owner,23,Budget,,,,,,
Hyundai Accent GLE 1,1999,"₹ 60,000",90000,Petrol,Individual,Manual,Fourth & Above Owner,27,Budget,,,,,,
Maruti Esteem Lxi,2005,"₹ 60,000",60000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Maruti Zen LX,2000,"₹ 60,000",50000,Petrol,Individual,Manual,First Owner,26,Budget,,,,,,
Maruti 800 AC,2007,"₹ 60,000",70000,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Tata Indica GLS BS IV,2007,"₹ 60,000",130000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Alto LXi,2006,"₹ 60,000",100000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti 800 AC BSIII,2007,"₹ 60,000",52000,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Maruti Wagon R LX,2003,"₹ 60,000",100000,Petrol,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti Alto LX,2000,"₹ 61,000",90000,Petrol,Individual,Manual,Second Owner,26,Budget,,,,,,
Ford Ikon 1.3 Flair,2005,"₹ 61,000",4637,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Maruti Zen LX,2001,"₹ 62,000",70000,Petrol,Individual,Manual,First Owner,25,Budget,,,,,,
Maruti 800 Std,2001,"₹ 65,000",60000,Petrol,Individual,Manual,Third Owner,25,Budget,,,,,,
Tata Indica GLS BS IV,2008,"₹ 65,000",110000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Alto LX,2008,"₹ 65,000",140000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Hyundai Santro LE,2002,"₹ 65,000",70000,Petrol,Individual,Manual,First Owner,24,Budget,,,,,,
Maruti 800 AC Uniq,2005,"₹ 65,000",70000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Maruti Alto LXi,2000,"₹ 65,000",90000,Petrol,Individual,Manual,Second Owner,26,Budget,,,,,,
Tata Nano Lx BSIII,2011,"₹ 65,000",60000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Honda City 1.5 GXI,2005,"₹ 65,000",150000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Maruti 800 AC,2002,"₹ 65,000",100000,Petrol,Individual,Manual,Second Owner,24,Budget,,,,,,
Maruti Omni 5 Str STD,1998,"₹ 65,000",60000,Petrol,Dealer,Manual,Third Owner,28,Budget,,,,,,
Maruti Alto LX,2006,"₹ 65,000",124439,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Hyundai Santro LE zipPlus,2001,"₹ 68,000",70000,Petrol,Individual,Manual,First Owner,25,Budget,,,,,,
Tata Indica GLS BS IV,2009,"₹ 68,000",120000,Petrol,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Zen LXI,1998,"₹ 69,000",70000,Petrol,Individual,Manual,Second Owner,28,Budget,,,,,,
Maruti Alto LXi,2008,"₹ 69,000",100000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Tata Indica DLS,2005,"₹ 70,000",80000,Diesel,Individual,Manual,First Owner,21,Budget,,,,,,
Maruti Wagon R LXI DUO BSIII,2007,"₹ 70,000",162000,LPG,Individual,Manual,First Owner,19,Budget,,,,,,
Chevrolet Spark 1.0 LT,2009,"₹ 70,000",60000,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Maruti Zen LX - BS III,2006,"₹ 70,000",105700,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Maruti Wagon R LXI,2001,"₹ 70,000",117000,Petrol,Individual,Manual,Second Owner,25,Budget,,,,,,
Maruti Wagon R VXI BSIII,2003,"₹ 70,000",90000,Petrol,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti Esteem Lxi,2005,"₹ 70,000",60000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Hyundai Santro LE zipPlus,2003,"₹ 70,000",80000,Petrol,Individual,Manual,Third Owner,23,Budget,,,,,,
Maruti Zen LX,1999,"₹ 70,000",70000,Petrol,Individual,Manual,Fourth & Above Owner,27,Budget,,,,,,
Tata Indica DLS,2005,"₹ 70,000",120000,Diesel,Individual,Manual,First Owner,21,Budget,,,,,,
Maruti Alto LXI,2004,"₹ 70,000",50000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Chevrolet Spark 1.0 LS,2009,"₹ 70,000",60000,Petrol,Individual,Manual,Third Owner,17,Budget,,,,,,
Maruti Wagon R LXI,2005,"₹ 70,000",80000,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Hyundai Santro Xing XG eRLX Euro III,2005,"₹ 70,000",170000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Hyundai Santro Xing XG,2005,"₹ 70,000",68500,Petrol,Dealer,Manual,First Owner,21,Budget,,,,,,
Tata Indica GLS BS IV,2008,"₹ 70,000",60000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Alto LX,2007,"₹ 70,000",120000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Hyundai Santro Xing XG,2006,"₹ 70,000",110000,Petrol,Individual,Manual,Third Owner,20,Budget,,,,,,
Tata Nano Cx BSIII,2010,"₹ 70,000",10000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Tata Indigo LX Dicor,2008,"₹ 70,000",100000,Diesel,Individual,Manual,Third Owner,18,Budget,,,,,,
Hyundai Santro Xing XK,2007,"₹ 70,000",55000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Indica LSI,2006,"₹ 70,000",60000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Zen LXI,2003,"₹ 70,000",60000,Petrol,Individual,Manual,Fourth & Above Owner,23,Budget,,,,,,
Maruti Wagon R LXI,2005,"₹ 70,000",70000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Hyundai Getz GLX,2005,"₹ 70,000",90000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Maruti Alto LXi,2008,"₹ 70,000",90000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Maruti Alto LX,2007,"₹ 70,000",180000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Maruti Wagon R LXI,2004,"₹ 70,000",90000,Petrol,Individual,Manual,Fourth & Above Owner,22,Budget,,,,,,
Hyundai Getz GLS ABS,2005,"₹ 71,000",22000,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Maruti Alto STD,2009,"₹ 72,000",70000,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Tata Nano LX SE,2013,"₹ 72,000",25000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Swift 1.3 LXI,2007,"₹ 73,000",80000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Nano Twist XT,2015,"₹ 73,000",57000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Hyundai Santro Xing XL eRLX Euro III,2007,"₹ 75,000",114000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Nano Cx BSIV,2011,"₹ 75,000",9528,Petrol,Dealer,Manual,First Owner,15,Budget,,,,,,
Maruti Wagon R LXI,2005,"₹ 75,000",70000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Maruti Zen D,2003,"₹ 75,000",100000,Diesel,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti Zen D PS,2003,"₹ 75,000",110000,Diesel,Individual,Manual,Second Owner,23,Budget,,,,,,
Tata Indigo GLX,2006,"₹ 75,000",40000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Zen LX,1999,"₹ 75,000",70000,Petrol,Individual,Manual,First Owner,27,Budget,,,,,,
Hyundai Santro GLS I - Euro I,2005,"₹ 75,000",60000,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Tata Indica GLS BS IV,2010,"₹ 75,000",110000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Tata Nano Lx BSIV,2010,"₹ 75,000",58850,Petrol,Dealer,Manual,First Owner,16,Budget,,,,,,
Tata Nano Lx BSIV,2012,"₹ 75,000",29900,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LX,2006,"₹ 75,000",96000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Tata Indica V2 DLS BSII,2010,"₹ 75,000",100000,Diesel,Individual,Manual,Third Owner,16,Budget,,,,,,
Maruti Wagon R VXI BSII,2006,"₹ 75,000",80000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Tata Nano CX SE,2013,"₹ 75,000",25000,Petrol,Individual,Manual,Third Owner,13,Budget,,,,,,
Tata Indica GLS BS IV,2010,"₹ 75,000",300000,Petrol,Individual,Manual,Third Owner,16,Budget,,,,,,
Tata Nano Lx,2011,"₹ 75,000",15000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Tata Nano Cx BSIV,2012,"₹ 75,000",35000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Chevrolet Spark 1.0 LS,2008,"₹ 75,000",35000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Maruti 800 AC BSIII,2007,"₹ 75,000",90000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Alto LX,2006,"₹ 75,000",130000,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Tata Indica GLS BS IV,2006,"₹ 75,000",100000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Alto LXi,2006,"₹ 75,000",80000,Petrol,Individual,Manual,Third Owner,20,Budget,,,,,,
Maruti Esteem Lxi - BSIII,2007,"₹ 75,000",54000,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Hyundai Santro LP zipPlus,2003,"₹ 75,000",57000,Petrol,Individual,Manual,First Owner,23,Budget,,,,,,
Maruti Alto LX BSIII,2008,"₹ 75,000",120000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Alto LXi,2007,"₹ 75,000",40000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Alto LXi,2009,"₹ 78,000",120000,Petrol,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti 800 Std MPFi,2006,"₹ 78,000",64700,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Chevrolet Spark 1.0,2010,"₹ 78,692",80000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Zen VXi - BS III,2004,"₹ 79,000",80000,Petrol,Individual,Manual,First Owner,22,Budget,,,,,,
Maruti Esteem AX,1997,"₹ 79,000",70000,Petrol,Individual,Automatic,First Owner,29,Budget,,,,,,
Maruti 800 AC,2008,"₹ 80,000",50000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Hyundai Santro GS,2005,"₹ 80,000",56580,Petrol,Dealer,Manual,First Owner,21,Budget,,,,,,
Maruti Wagon R LXI,2004,"₹ 80,000",60000,Petrol,Individual,Manual,Third Owner,22,Budget,,,,,,
Maruti Zen LXI,2006,"₹ 80,000",70000,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Tata Indigo TDI,2008,"₹ 80,000",150000,Diesel,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Swift 1.3 VXi,2006,"₹ 80,000",66508,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Wagon R VXI Minor,2007,"₹ 80,000",60000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Tata Indica GLS BS IV,2008,"₹ 80,000",200000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Baleno Vxi,2006,"₹ 80,000",120000,Petrol,Individual,Manual,Third Owner,20,Budget,,,,,,
Maruti Esteem Lxi - BSIII,2005,"₹ 80,000",24000,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,"₹ 80,000",90000,LPG,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Wagon R LXI Minor,2007,"₹ 80,000",120000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Chevrolet Aveo U-VA 1.2,2007,"₹ 80,000",110000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Chevrolet Spark 1.0,2010,"₹ 80,000",70000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Fiat Punto 1.2 Active,2010,"₹ 80,000",50000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Wagon R LXI,2005,"₹ 80,000",40000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Tata Indica LXI,2004,"₹ 80,000",46000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Maruti 800 AC,2002,"₹ 80,000",70000,Petrol,Individual,Manual,Second Owner,24,Budget,,,,,,
Ford Fiesta 1.4 SXi TDCi,2009,"₹ 80,000",180000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Mahindra Renault Logan 1.4 GLX Petrol,2008,"₹ 80,000",90000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Wagon R VXI BSIII,2005,"₹ 80,000",40000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Hyundai Getz GLS,2005,"₹ 80,000",120000,Petrol,Individual,Manual,Third Owner,21,Budget,,,,,,
Maruti Zen LXI,1998,"₹ 80,000",120000,Petrol,Individual,Manual,Second Owner,28,Budget,,,,,,
Tata Indigo GLS,2011,"₹ 80,000",62000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Hyundai Santro LP zipPlus,2002,"₹ 80,000",70000,Petrol,Individual,Manual,Second Owner,24,Budget,,,,,,
Hyundai Santro Xing XG,2004,"₹ 80,000",58000,Petrol,Individual,Manual,First Owner,22,Budget,,,,,,
Maruti Alto LX,2004,"₹ 80,000",120000,Petrol,Individual,Manual,First Owner,22,Budget,,,,,,
Hyundai Santro Xing XO,2006,"₹ 80,000",110000,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Maruti Zen Estilo VXI BSIII,2008,"₹ 80,000",120000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti 800 AC,2007,"₹ 80,000",120000,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Maruti 800 Std BSII,2004,"₹ 80,000",60000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Maruti 800 AC,2002,"₹ 80,000",40000,Petrol,Individual,Manual,Fourth & Above Owner,24,Budget,,,,,,
Mahindra Bolero DI DX 7 Seater,2001,"₹ 80,000",100000,Diesel,Individual,Manual,Third Owner,25,Budget,,,,,,
Tata Indica Vista Aqua TDI BSIII,2008,"₹ 80,000",90000,Diesel,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Alto STD,2008,"₹ 80,000",100000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Tata Indica GLS BS IV,2008,"₹ 80,000",90000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Hyundai Santro Xing XO,2007,"₹ 80,000",58000,Petrol,Dealer,Manual,Second Owner,19,Budget,,,,,,
Ford Fiesta 1.6 ZXi Leather,2006,"₹ 81,000",83411,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Tata Nano Twist XT,2015,"₹ 82,000",19000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Maruti 800 DUO AC LPG,2009,"₹ 85,000",50000,LPG,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Swift 1.3 VXi,2005,"₹ 85,000",118400,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Honda City 1.3 EXI,1998,"₹ 85,000",120000,Petrol,Individual,Manual,Second Owner,28,Budget,,,,,,
Maruti Zen LX,2000,"₹ 85,000",80000,Petrol,Individual,Manual,Second Owner,26,Budget,,,,,,
Hyundai Santro Xing XL AT eRLX Euro III,2006,"₹ 85,000",100000,Petrol,Individual,Automatic,Third Owner,20,Budget,,,,,,
Maruti Wagon R LXI Minor,2007,"₹ 85,000",80000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Indica Vista Aqua 1.3 Quadrajet,2009,"₹ 85,000",120000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Tata Indica GLS BS IV,2007,"₹ 85,000",50000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Indica Vista Terra Quadrajet 1.3L BS IV,2010,"₹ 85,000",87000,Diesel,Individual,Manual,First Owner,16,Budget,,,,,,
Chevrolet Aveo 1.4,2007,"₹ 85,000",70000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Esteem Vxi - BSIII,2006,"₹ 85,000",60000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Hyundai Santro Xing XG,2003,"₹ 85,000",110000,Petrol,Individual,Manual,Second Owner,23,Budget,,,,,,
Maruti Alto LX BSIII,2008,"₹ 85,000",120000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Maruti Zen LXI,1999,"₹ 85,000",70000,Petrol,Individual,Manual,Second Owner,27,Budget,,,,,,
Tata Indica DLS,2006,"₹ 85,000",300000,Diesel,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Omni E 8 Str STD,2001,"₹ 85,000",70000,Petrol,Individual,Manual,Third Owner,25,Budget,,,,,,
Maruti Zen VX,2001,"₹ 85,000",86000,Petrol,Individual,Manual,Second Owner,25,Budget,,,,,,
Hyundai Santro Xing GLS,2007,"₹ 85,000",85000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Hyundai Accent CRDi,2002,"₹ 85,000",100000,Diesel,Individual,Manual,Third Owner,24,Budget,,,,,,
Maruti Alto Green LXi (CNG),2010,"₹ 88,000",80251,CNG,Dealer,Manual,Second Owner,16,Budget,,,,,,
Mahindra Renault Logan 1.5 DLS,2008,"₹ 89,999",213000,Diesel,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Alto LXi,2007,"₹ 90,000",43826,Petrol,Dealer,Manual,Second Owner,19,Budget,,,,,,
Maruti Esteem Lxi - BSIII,2006,"₹ 90,000",90000,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Maruti Wagon R LXI,2005,"₹ 90,000",70000,Petrol,Individual,Manual,Second Owner,21,Budget,,,,,,
Maruti 800 AC,2008,"₹ 90,000",70000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Zen Estilo VXI BSIII,2007,"₹ 90,000",90000,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Maruti Wagon R LXI,2006,"₹ 90,000",62009,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti 800 Std BSII,2006,"₹ 90,000",40000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Alto LX,2006,"₹ 90,000",60000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Tata Indica GLS BS IV,2010,"₹ 90,000",300000,Petrol,Individual,Manual,Third Owner,16,Budget,,,,,,
Hyundai Santro Xing GL PLUS CNG,2007,"₹ 90,000",80000,CNG,Individual,Manual,Third Owner,19,Budget,,,,,,
Maruti Zen Estilo LX BSIV,2010,"₹ 90,000",50000,Petrol,Individual,Manual,Third Owner,16,Budget,,,,,,
Maruti Alto LXi,2007,"₹ 90,000",100000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Indica Vista Aqua 1.4 TDI,2011,"₹ 90,000",54000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Tata Indica V2 2001-2011 DLS BSIII,2009,"₹ 90,000",120000,Diesel,Dealer,Manual,First Owner,17,Budget,,,,,,
Hyundai Santro Xing XG,2004,"₹ 90,000",100005,Petrol,Dealer,Manual,Second Owner,22,Budget,,,,,,
Tata Indica Vista Aqua TDI BSIII,2009,"₹ 90,000",120000,Diesel,Individual,Manual,First Owner,17,Budget,,,,,,
